"filename", "language", "JavaScript", "XML", "JSON", "SQL", "Log", "YAML", "CSS", "Markdown", "Docker", "HTML", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/en.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 2, 43
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/es.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 2, 38
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fi.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/fr.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/id.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 35
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/it.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ja.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ko.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lt.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 1, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/lv.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 33
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nb.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 1, 0, 39
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/nn.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/no.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 4
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pl.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/pt-br.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 37
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/ro.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 2, 36
