"filename", "language", "TypeScript", "JavaScript", "TypeScript React", "CSS", "XML", "JSON", "YAML", "SQL", "HTML", "Markdown", "Docker", "PHP", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/libs/vlucas_valitron/lang/zh-tw.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 30
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 4, 10, 66
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/login/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/marker/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 2, 10, 113
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/details.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 8, 49
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 22, 41, 237
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/marker.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 11, 40, 272
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/popup_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 585, 60, 128, 773
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/station.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 14, 63
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/model/user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 8, 23, 85
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/carousel_widget.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 14, 12, 137
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 2, 13, 121
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/save_order.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/popup_widget/update_image.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 6, 10, 72
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/register/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 6, 7, 53
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/stations/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 3, 9, 67
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 14
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/test3.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 7, 16
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/token/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 2, 12, 62
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/index.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 1, 4, 45
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/server/api/user/test_user.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 2, 4, 45
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/App.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 9, 112
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Marker.css", "CSS", 0, 0, 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 50, 129, 1183
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Structure.json", "JSON", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/api.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
