"filename", "language", "JavaScript", "JSON", "CSS", "SQL", "YAML", "Log", "XML", "Markdown", "HTML", "PHP", "Docker", "comment", "blank", "total"
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/Structure.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/api.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 11, 66
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/assets/drag.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Analytics.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/ColorPicker.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 61
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Dashboard.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 189
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/DragAndDropUtil.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 81
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/DraggableTest.js", "JavaScript", 375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 38, 443
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Image.js", "JavaScript", 965, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 116, 1244
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/ImageUtils.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/Sameersahabudeen/Bauer Media Group/Bauer Adventure Design - SAMEER/All_Projects/Project_2021/image-annotator/src/components/Images.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 11, 134
